#Ejercicio,Orgánica,Económica,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Modificación de previsiones en aumento,Modificación de previsiones en disminución,Previsiones Definitivas,Derechos reconocidos
2013,,10000,Impost sobre la Renta de les Persones físiques,991260.0,,,,991260.0,1118386.95
2013,,13002,Compensación IAE Tributos del Estado,80000.0,,,,80000.0,
2013,,17100,Recargo provincial en el Impuesto sobre Actividades Económicas,,,,,,267469.33
2013,,17900,Recàrrec IAE del Ajuntaments,150000.0,,,,150000.0,
2013,,21000,Impost sobre IVA,1889001.0,,,,1889001.0,1837779.87
2013,,22000,Impuesto sobre el alcohol y bebidas derivadas,24260.0,,,,24260.0,24640.92
2013,,22001,Impuesto sobre la cerveza,8900.0,,,,8900.0,9040.2
2013,,22003,Impuesto sobre las labores del tabaco,27390.0,,,,27390.0,27387.24
2013,,22004,Impuesto sobre hidrocarburos,202850.0,,,,202850.0,202849.2
2013,,22006,Impuesto sobre productos intermedios,560.0,,,,560.0,568.68
2013,,31000,Taxes Hospital Cas Serres,810000.0,,,,810000.0,708299.3
2013,,31200,Taxes Escoletes,299499.44,,,,299499.44,345977.96
2013,,31201,Taxes Cultura Edif. Cas Serres,,,,,,2932.75
2013,,31300,Taxes Instal.lacions Esportives,468000.0,,,,468000.0,378804.28
2013,,31900,Taxes ITV,1089700.0,,,,1089700.0,1274839.22
2013,,31901,Taxes Transports,25000.0,,,,25000.0,36339.4
2013,,31902,"Taxes agricultura, ramederia i Pesca",65000.0,,,,65000.0,855.31
2013,,31903,Taxes ordenació turística,37000.0,,,,37000.0,453595.22
2013,,31904,Taxes Joventut,89000.0,,,,89000.0,103145.15
2013,,31905,Taxes centre exàmens Conduir,89000.0,,,,89000.0,87267.17
2013,,31907,Taxes Servei d´Extinció d´Incendis,,,,,,45401.87
2013,,31909,Taxes caça,58000.0,,,,58000.0,18.48
2013,,31910,Tasas Ordenacio del Territori,,,,,,8837.23
2013,,31911,Tasas espectáculos y actividades recreativas,8000.0,,,,8000.0,31046.59
2013,,32000,Tasas licencia caza,,,,,,35844.86
2013,,32001,Tasas licencia pesca,,,,,,79174.74
2013,,32200,Taxes urbanisme i habitabilitat,73000.0,,,,73000.0,24591.99
2013,,32500,Expedicion de Documentos,,,,,,3766.71
2013,,34400,"Entradas a musesos, exposiciones, espectáculos",,3834.0,3834.0,,3834.0,3834.0
2013,,34901,Preus públics diverespai.,25000.0,,,,25000.0,
2013,,35100,Convenio UNESPA Bomberos,412000.0,,,,412000.0,412000.0
2013,,36000,Ingresos por Ventas,1000.0,,,,1000.0,6656.16
2013,,38900,Reintegros de Cerrados,,191000.0,191000.0,,191000.0,224628.95
2013,,39100,Multas por infracciones urbanísticas,,,,,,53666.05
2013,,3919001,Sanciones transporte,41000.0,,,,41000.0,141363.25
2013,,3919002,Sanciones turismo,120000.0,,,,120000.0,14400.0
2013,,3919003,Sanciones pesca,10000.0,,,,10000.0,25738.73
2013,,3919004,Sanciones caça,1500.0,,,,1500.0,601.0
2013,,39192,Sancions turisme.,,,,,,3700.0
2013,,39193,Sancions Pesca,,,,,,802.0
2013,,39211,Recargo de apremio,20000.0,,,,20000.0,14766.58
2013,,39300,Interessos de demora,7000.0,,,,7000.0,8104.2
2013,,39800,Indemnizaciones de seguros de no vida,,,,,,1530.0
2013,,39900,Otros ingresos diversos,,,,,,17612.23
2013,,39902,Costas procedimiento exptes. ejecutiva,,,,,,1820.55
2013,,39905,Costas Judiciales,,,,,,4580.61
2013,,39907,Anuncios prensa i boib exptes. contratación,,,,,,1160.76
2013,,42010,Fondo Complementario de Financiación,13508080.0,,,,13508080.0,13508081.4
2013,,42191,Subvenció Pla Formació INAP,,,,,,22309.0
2013,,4500101,Transferències corrents incondicionades,21717000.0,,,,21717000.0,24622958.33
2013,,4500102,Disposició adicional 14 Projecte presupost CAIB,3000000.0,,,,3000000.0,
2013,,4500201,Déficit Sanitari,1997259.57,,,,1997259.57,1500000.0
2013,,4500202,Conveni discapacitats,,,,,,39903.0
2013,,4500203,Renda Mínima d'inserció,,388656.74,388656.74,,388656.74,190915.7
2013,,4500204,Pla Prestacions Básiques,435000.0,810685.13,810685.13,,1245685.13,328188.59
2013,,4500206,Persones en Situació de Dependència,,5143342.79,5143342.79,,5143342.79,5677563.59
2013,,4500207,Conveni atenció persones incapacitades PIATAE,,39903.0,39903.0,,39903.0,13301.0
2013,,4500208,Conveni s/ drogues,,69350.86,69350.86,,69350.86,97488.0
2013,,4500209,Actuacions d´acolliment menors,,,,,,11000.0
2013,,4500210,Conveni Institud Balear de la Dona,,,,,,181996.0
2013,,4500211,Aportació Cas Serres,,,,,,92613.0
2013,,45007,Conveni Institut Balear de la Dona,,,,,,106186.57
2013,,45008,Contracte Programa cursos formació exclusió Social,,,,,,151248.6
2013,,45016,ADOL acció Social,,,,,,
2013,,45018,Conveni Actuacions Maltractament i Abús Sexual Infantil,,,,,,45000.0
2013,,45030,Transferencias corrientes en cumplimiento de convenios Escola Turisme,200000.0,,,,200000.0,
2013,,4503002,Subvenció sosteniment escoletes.,,,,,,14429.0
2013,,4506001,Diada de les llles Balears,,22500.0,22500.0,,22500.0,22500.0
2013,,4506002,Convenio Mantenimiento Sede Consell Insular,,,,,,119242.72
2013,,4506004,"Programa CC.LL. 103/08, Eivissa Paisatge Humà.",,,,,,
2013,,4508001,Subvencions manteniment Seu,139563.23,,,,139563.23,
2013,,4508003,Conveni Soteniment Sa Coma,20000.0,,,,20000.0,3033.0
2013,,4508004,Soib Accions Formatives,,,,,,
2013,,4508005,Conveni CIE Can Raspall,,,,,,13838.09
2013,,4508006,Consorci Escola Balear Sports,,,,,,65335.3
2013,,4508099,Tallers d'ocupació .Ex. 33/2010 i 34/2010,,,,,,
2013,,45101,Aportació IBSALUT,,200000.0,200000.0,,200000.0,200000.0
2013,,45301,Conveni Centre Balear Europa i CIE per els PIE,,,,,,8500.0
2013,,46200,Aportació sosteniment Parc Bombers,,,,,,41103.54
2013,,52000,Interessos bancàris,40000.0,,,,40000.0,13369.31
2013,,55000,Ing. Patrim. Conces. i Aporfitaments Conc. Admves.,,,,,,21850.0
2013,,55900,Otras concesiones y aprovechamientos,100000.0,,,,100000.0,193789.48
2013,,72000,Transferències de l'Estat,,,,,,1482796.57
2013,,72001,Subvenció Estat Projecte desestacionalització,325000.0,300000.0,300000.0,,625000.0,
2013,,72002,Conveni carreteres ministeri de Foment,2973520.0,,,,2973520.0,3728830.0
2013,,75003,Subv. Construc.Escolet,,,,,,134000.0
2013,,7506001,Conveni CAIB carreteres,2630000.0,951805.82,951805.82,,3581805.82,
2013,,7506002,Conv. projecte Slow Breaks,350000.0,,,,350000.0,650000.0
2013,,7506003,Convenio Infraestructuras,7772239.63,,,,7772239.63,
2013,,7506004,PIOS CAIB Planes Provinciales Insulares,,,,,,84883.85
2013,,75061,Conveni projecte desestacionalització Slow Breaks,,642911.66,642911.66,,642911.66,
2013,,7508001,Disposició adicional 8èna. Transf. carreteres.,1721766.14,,,,1721766.14,39959.98
2013,,7508002,Transferències incondiconades,2690000.0,,,,2690000.0,3182426.35
2013,,78001,Grup d´Acció Local,,,,,,16175.0
2013,,79201,Transferència fons Europeus 2007-2013,706763.4,69955.84,69955.84,,776719.24,
2013,,83000,Reintegrament prèstecs al personal,400000.0,,,,400000.0,270671.38
2013,,87010,Para gastos con financiación afectada,,17323227.3,17323227.3,,17323227.3,
2013,,91001,Devolución deuda liquidación definitiva 2008. Min. Hacienda y Adm. Publicas.,,,,,,
2013,,91002,Devolución deuda liquidación definitiva 2009. Min. Hacienda y Adm. Publicas.,,,,,,
2013,,94100,Fiances ingressades,300000.0,,,,300000.0,226615.11
2013,31,35100,Convenio UNESPA Bomberos,,,,,,
2013,31,75065,Conv. noves inversions carreteres,,,,,,
2013,42,72001,Subvenció Estat Projecte desestacionalització,,,,,,
2013,42,75061,Conveni projecte desestacionalització Slow Breaks,,,,,,
