#,Funcional,Económica,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,110.0,31000.0,Deuta Pública Intereses,,110.0,3.0,225495.16,,225495.16,112102.44
,110.0,9120103.0,Deuta Pública.Ptmo BCL 2006 Hipódromo 45026555,,110.0,9.0,,,,385703.32
,110.0,9120104.0,Deuta Pública,,110.0,9.0,,,,725968.52
,110.0,9120110.0,Deuta Pública.Ptmo Santander 2014 30687020,,110.0,9.0,,,,466000.0
,110.0,91300.0,Deuta Pública Amortització prèstec,,110.0,9.0,1576884.55,6825949.53,8402834.08,
,110.0,91306.0,Deuta Pública. Amortizacion prestamo a LP Dexia Sabadell 2009,,110.0,9.0,,,,3804052.48
,110.0,91313.0,Deuta Pública. Amortizacion prestamo a LP Banco Santander 2014,,110.0,9.0,,,,1864000.0
,1360.0,12000.0,Servei de Prevenció i Extinció d´Incendis. Sueldos del Grupo A1,,1360.0,1.0,14677.32,,14677.32,14407.94
,1360.0,12003.0,Servei de Prevenció i Extinció d´Incendis. Sueldos del Grupo C1,,1360.0,1.0,9884.84,,9884.84,10195.99
,1360.0,12004.0,Servei de Prevenció i Extinció d´Incendis. Sueldos del Grupo C2,,1360.0,1.0,310007.46,210000.0,520007.46,314504.04
,1360.0,12006.0,Servei de Prevenció i Extinció d´Incendis. Trienios,,1360.0,1.0,56208.37,,56208.37,55908.36
,1360.0,12100.0,Servei de Prevenció i Extinció d´Incendis. Complemento de destino,,1360.0,1.0,182092.26,,182092.26,184821.46
,1360.0,12101.0,Servei de Prevenció i Extinció d´Incendis. Complemento específico,,1360.0,1.0,468945.74,,468945.74,470210.66
,1360.0,12103.0,Servei de Prevenció i Extinció d´Incendis. Otros complementos,,1360.0,1.0,26533.92,,26533.92,41159.9
,1360.0,12700.0,Servei de Prevenció i Extinció d´Incendis.Contribuciones a planes y fondos de pensiones funcionaris,,1360.0,1.0,,,,24739.85
,1360.0,15001.0,Servei de Prevenció i Extinció d´Incendis. Productivitat funcionàris,,1360.0,1.0,117000.0,,117000.0,119473.34
,1360.0,15100.0,"Servei de Prevenció i Extinció d´Incendis. Ad,.General Gratificacions",,1360.0,1.0,243300.0,,243300.0,366110.82
,1360.0,16000.0,Servei de Prevenció i Extinció d´Incendis. Seguridad Social,,1360.0,1.0,538150.39,,538150.39,563818.09
,1360.0,16008.0,Servei de Prevenció i Extinció d´Incendis. Asistencia médico-farmacéutica,,1360.0,1.0,6000.0,,6000.0,6297.0
,1360.0,21200.0,Servei de Prevenció i Extinció d´Incendis.Repar. Manteniment i conserv. edificis i altres,,1360.0,2.0,,,,6361.99
,1360.0,21300.0,Servei de Prevenció i Extinció d´Incendis. Repar. Manteniment i conserv. Maquin. Instal. i utillatge,,1360.0,2.0,50000.0,,50000.0,35044.52
,1360.0,21400.0,Servei de Prevenció i Extinció d´Incendis.Reparac. Manten. i Conserv. Mat. Transport,,1360.0,2.0,,,,25374.17
,1360.0,21500.0,Servei de Prevenció i Extinció d´Incendis. Repar. Manteniment i conserv. Mobilliari i béns,,1360.0,2.0,10000.0,,10000.0,1468.76
,1360.0,22101.0,Servei de Prevenció i Extinció d´Incendis.Agua,,1360.0,2.0,,,,276.92
,1360.0,22102.0,Servei de Prevenció i Extinció d´Incendis.Gas,,1360.0,2.0,,,,835.0
,1360.0,22104.0,Servei de Prevenció i Extinció d´Incendis. Vestuario,,1360.0,2.0,43000.0,,43000.0,23277.23
,1360.0,22106.0,Servei de Prevenció i Extinció d´Incendis.Productos farmacéuticos y material sanitario,,1360.0,2.0,,,,169.3
,1360.0,22109.0,Servei de Prevenció i Extinció d´Incendis. Material especial,,1360.0,2.0,30000.0,-3778.35,26221.65,1087.87
,1360.0,22110.0,Servei de Prevenció i Extinció d´Incendis.Productos de limpieza y aseo,,1360.0,2.0,,,,480.09
,1360.0,22199.0,Servei de Prevenció i Extinció d´Incendis.Otros suministros,,1360.0,2.0,,,,2722.23
,1360.0,22299.0,Servei de Prevenció i Extinció d´Incendis.Otros gastos en comunicaciones,,1360.0,2.0,,,,191.25
,1360.0,22300.0,Servei de Prevenció i Extinció d´Incendis. Parque móvil,,1360.0,2.0,250000.0,,250000.0,261442.46
,1360.0,22699.0,Servei de Prevenció i Extinció d´Incendis.Otros gastos diversos,,1360.0,2.0,,,,10682.33
,1360.0,22700.0,Servei de Prevenció i Extinció d´Incendis. Limpieza y Aseo,,1360.0,2.0,40000.0,,40000.0,16999.23
,1360.0,22799.0,Servei de Prevenció i Extinció d´Incendis. Otros trabajos realizados por otras empresas y profesionales,,1360.0,2.0,30000.0,,30000.0,20293.59
,1360.0,23000.0,Servei de Prevenció i Extinció d´Incendis.De los miembros de los órganos de gobierno,,1360.0,2.0,,,,245.48
,1360.0,23020.0,Servei de Prevenció i Extinció d´Incendis.Del personal no directivo,,1360.0,2.0,,,,21978.0
,1360.0,23100.0,Servei de Prevenció i Extinció d´Incendis.De los miembros de los órganos de gobierno,,1360.0,2.0,,,,60.7
,1360.0,23120.0,Servei de Prevenció i Extinció d´Incendis.Del personal no directivo,,1360.0,2.0,,,,368.72
,1360.0,62300.0,Servei de Prevenció i Extinció d´Incendis.Maquinaria,,1360.0,6.0,,,,3433.07
,1360.0,62301.0,Servei de Prevenció i Extinció d´Incendis.Instal.lacions,,1360.0,6.0,,3778.35,3778.35,3025.0
,1360.0,62500.0,Servei de Prevenció i Extinció d´Incendis.Inversió nova de mobiliari i béns,,1360.0,6.0,,,,26174.37
,1360.0,62600.0,Servei de Prevenció i Extinció d´Incendis.Inversió nova. Informática,,1360.0,6.0,,,,1706.1
,1360.0,63200.0,Servei de Prevenció i Extinció d´Incendis. Industrials,,1360.0,6.0,69000.0,,69000.0,14651.89
,1360.0,63303.0,Servei de Prevenció i Extinció d´Incendis.Utiles y herramientas,,1360.0,6.0,,,,5631.34
,1360.0,63400.0,Servei de Prevenció i Extinció d´Incendis.Automóvil,,1360.0,6.0,,,,7066.3
,1360.0,63901.0,Servei de Prevenció i Extinció d´Incendis.Otras inversiones de reposición asociadas al funcionamiento operativo de los servicios. Otro inmovilizado material en curso.,,1360.0,6.0,,,,1770.33
,1510.0,12000.0,Política Territorial. Sueldos del Grupo A1,,1510.0,1.0,132095.88,20000.0,152095.88,132724.04
,1510.0,12001.0,Política Territorial. Sueldos del Grupo A2,,1510.0,1.0,64532.6,,64532.6,60869.37
,1510.0,12003.0,Política Territorial. Sueldos del Grupo C1,,1510.0,1.0,29654.52,,29654.52,30142.49
,1510.0,12004.0,Política Territorial. Sueldos del Grupo C2,,1510.0,1.0,25135.74,,25135.74,26024.78
,1510.0,12005.0,Política Territorial. Sueldos del Grupo E,,1510.0,1.0,23035.74,,23035.74,20510.16
,1510.0,12006.0,Política Territorial. Trienios,,1510.0,1.0,43912.62,,43912.62,42892.5
,1510.0,12100.0,Política Territorial. Complemento de destino,,1510.0,1.0,159459.58,,159459.58,161779.62
,1510.0,12101.0,Política Territorial. Complemento específico,,1510.0,1.0,243365.92,,243365.92,244837.71
,1510.0,12103.0,Política Territorial. Otros complementos,,1510.0,1.0,23162.16,,23162.16,34326.38
,1510.0,12700.0,Política Territorial.Contribuciones a planes y fondos de pensiones funcionaris,,1510.0,1.0,,,,16275.3
,1510.0,15001.0,Política Territorial. Productivitat funcionàris,,1510.0,1.0,97385.16,5387.81,102772.97,104405.48
,1510.0,15100.0,Política Territorial.Gratificacions,,1510.0,1.0,,1563.56,1563.56,1563.56
,1510.0,16000.0,Política Territorial. Seguridad Social,,1510.0,1.0,212544.99,1910.22,214455.21,205412.26
,1510.0,16008.0,Política Territorial. Asistencia médico-farmacéutica,,1510.0,1.0,2800.0,,2800.0,2296.93
,1510.0,22104.0,Política Territorial.Vestuario,,1510.0,2.0,,,,42.35
,1510.0,22602.0,Política Territorial. Publicidad y propaganda,,1510.0,2.0,3000.0,,3000.0,
