#Ejercicio,Orgánica,Económica,Descripción, Prevision Inicial Ejercicio Corriente,Modificación previsiones,Modificaciones en aumento,Modificaciones en disminución, Prevision Definiva Ejercicio Corriente, Derechos Reconocidos Netos Ejercicio Corriente
2018,,100,       Impuestos Sobre La Renta De Las Personas Fisicas,1400000,,,,1400000,1803935.51
2018,,101,       Impuesto Sobre Sociedades,0,,,,0,0
2018,,102,       Impuesto Sobre La Renta De No Residentes,0,,,,0,0
2018,,110,       Impuesto Sobre Sucesiones Y Donaciones,0,,,,0,0
2018,,111,       Impuesto Sobre Patrimonio,0,,,,0,0
2018,,112,       Impuesto Sobre Bienes Inmuebles Bienes Inmubles De Naturaleza Rustica,0,,,,0,0
2018,,113,       Impuesto Sobre Bienes Inmuebles Bienes Inmuebles De Naturaleza Urbana,0,,,,0,0
2018,,114,       Impuesto Sobre Bienes Inmuebles Bienes Inmuebles De Caracteristicas Especiales,0,,,,0,0
2018,,115,       Impuesto Sobre Vehiculos De Traccion Mecanica,0,,,,0,0
2018,,116,       Impuesto Sobre Incremento Del Valor De Los Terrenos De Naturaleza Urbana,0,,,,0,0
2018,,117,       Impuesto Sobre Viviendas Desocupadas,0,,,,0,0
2018,,130,       Impuesto Sobre Actividades Economicas,0,,,,0,0
2018,,160,       Impuestos Directos _ Recargos Sobre Impuestos Directos Del Estado Y De La Comunidad Autonoma _ Sobre Impuestos Del Estado,0,,,,0,0
2018,,161,       Impuestos Directos _ Recargos Sobre Impuestos Directos Del Estado Y De La Comunidad Autonoma _ Sobre Impuestos De La Comunidad Autonoma,0,,,,0,0
2018,,170,       En El Impuesto Sobre Bienes Inmuebles,0,,,,0,0
2018,,171,       Recargo Provincial En El Impuesto Sobre Actividades Economicas,550000,,,,550000,859737.45
2018,,179,       Otros Recargos Sobre Impuestos Directos De Otros Entes Locales,0,,,,0,0
2018,,210,       Impuesto Sobre El Valor Anadido,2141830,,,,2141830,2432879.54
2018,,22000,             Impuesto Sobre El Alcohol Y Bebidas Derivadas,26520,,,,26520,24779.64
2018,,22001,             Impuesto Sobre La Cerveza,9270,,,,9270,8411.64
2018,,22002,             Impuesto Sobre El Vino Y Bebidas Fermentadas,0,,,,0,0
2018,,22003,             Impuesto Sobre Las Labores Del Tabaco,348150,,,,348150,387847.97
2018,,22004,             Impuesto Sobre Hidrocarburos,239210,,,,239210,293908.77
2018,,22005,             Impuesto Sobre Determinados Medios De Transporte,0,,,,0,0
2018,,22006,             Impuesto Sobre Productos Intermedios,590,,,,590,753.04
2018,,22007,             Impuesto Sobre La Energia,0,,,,0,0
2018,,22008,             Impuesto Sobre Ventas Minoristas De Hidrocarburos,0,,,,0,0
2018,,22009,             Exaccion Sobre La Gasolina,0,,,,0,0
2018,,260,       Impuestos Indirectos _ Recargos Sobre Impuestos Indirectos Del Estado Y De La Comunidad Autonoma _ Sobre Impuestos Del Estado,0,,,,0,0
2018,,261,       Impuestos Indirectos _ Recargos Sobre Impuestos Indirectos Del Estado Y De La Comunidad Autonoma _ Sobre Impuestos De La Comunidad Autonoma,0,,,,0,0
2018,,270,       Sobre Impuestos De Otros Entes Locales,0,,,,0,0
2018,,290,       Impuesto Sobre Construcciones Instalaciones Y Obras,0,,,,0,0
2018,,291,       Impuesto Sobre Gastos Suntuarios Cotos De Caza Y Pesca,0,,,,0,0
2018,,292,       Arbitrio Sobre Importaciones Y Entregas De Mercancias En Canarias Aiem,0,,,,0,0
2018,,293,       Impuesto General Indirecto Canario Igic,0,,,,0,0
2018,,294,       Impuesto Sobre La Produccion Los Servicios Y La Importacion Ipsi De Ceuta Y Melilla,0,,,,0,0
2018,,295,       Impuesto Sobre Primas De Seguros,0,,,,0,0
2018,,296,       Impuesto Sobre Transmisiones Patrimoniales Y Actos Juridicos Documentados,0,,,,0,0
2018,,299,       Otros Impuestos Indirectos _ Otros Impuestos Indirectos,0,,,,0,0
2018,,300,       Servicio De Abastecimiento De Agua,0,,,,0,0
2018,,301,       Servicio De Alcantarillado,0,,,,0,0
2018,,302,       Servicio De Recogida De Basuras,0,,,,0,0
2018,,303,       Servicio De Tratamiento De Residuos,0,,,,0,0
2018,,304,       Canon De Saneamiento,0,,,,0,0
2018,,309,       Otras Tasas Por Prestacion De Servicios Basicos,0,,,,0,0
2018,,310,       Tasas Por La Prestacion De Servicios Publicos De Caracter Social Y Preferente _ Servicios Hospitalarios,900000,,,,900000,1038279.72
2018,,311,       Tasas Por La Prestacion De Servicios Publicos De Caracter Social Y Preferente _ Servicios Asistenciales,0,,,,0,0
2018,,312,       Tasas Por La Prestacion De Servicios Publicos De Caracter Social Y Preferente _ Servicios Educativos,358000,,,,358000,405163.75
2018,,313,       Tasas Por La Prestacion De Servicios Publicos De Caracter Social Y Preferente _ Servicios Deportivos,300000,,,,300000,369632.92
2018,,319,       Otras Tasas Por Prestacion De Servicios De Caracter Preferente,3124500,,,,3124500,2429647.75
2018,,320,       Licencias De Caza Y Pesca,60000,,,,60000,27046.76
2018,,321,       Licencias Urbanisticas,0,,,,0,0
2018,,322,       Cedulas De Habitabilidad Y Licencias De Primera Ocupacion,35000,,,,35000,16090.83
2018,,323,       Tasas Por Otros Servicios Urbanisticos,0,,,,0,0
2018,,324,       Tasas Sobre El Juego,0,,,,0,0
2018,,325,       Tasa Por Expedicion De Documentos,21000,,,,21000,77079.66
2018,,326,       Tasa Por Retirada De Vehiculos,0,,,,0,0
2018,,329,       Otras Tasas Por La Realizacion De Actividades De Competencia Local,0,,,,0,0
2018,,330,       Tasa De Estacionamiento De Vehiculos,0,,,,0,0
2018,,331,       Tasa Por Entrada De Vehiculos,0,,,,0,0
2018,,332,       Tasa Por Utilizacion Privativa O Aprovechamiento Especial Por Empresas Explotadoras De Servicios De Suministros,0,,,,0,0
2018,,333,       Tasa Por Utilizacion Privativa O Aprovechamiento Especial Por Empresas Explotadoras De Servicios De Telecomunicaciones,0,,,,0,0
2018,,334,       Tasa Por Apertura De Calas Y Zanjas,0,,,,0,0
2018,,335,       Tasa Por Ocupacion De La Via Publica Con Terrazas,0,,,,0,0
2018,,336,       Tasa Por Ocupacion De La Via Publica Con Suspension Temporal Del Trafico Rodado,0,,,,0,0
2018,,337,       Tasas Por Aprovechamiento Del Vuelo,0,,,,0,0
2018,,338,       Compensacion De Telefonica De Espana Sa,0,,,,0,0
2018,,339,       Otras Tasas Por Utilizacion Privativa Del Dominio Publico,0,,,,0,0
2018,,340,       Precios Publicos _ Servicios Hospitalarios,0,,,,0,0
2018,,341,       Precios Publicos _ Servicios Asistenciales,0,,,,0,0
2018,,342,       Precios Publicos _ Servicios Educativos,0,,,,0,0
2018,,343,       Precios Publicos _ Servicios Deportivos,0,,,,0,0
2018,,344,       Entradas A Museos Exposiciones Espectaculos,0,,,,0,359.1
2018,,345,       Servicio De Transporte Publico Urbano,0,,,,0,0
2018,,349,       Otros Precios Publicos,25650,,,,25650,6872.5
2018,,350,       Para La Ejecucion De Obras,0,,,,0,0
2018,,351,       Para El Establecimiento O Ampliacion De Servicios,641764.07,,,,641764.07,685214.99
2018,,36,     Ventas,7000,,,,7000,16712.59
2018,,380,       Reintegro De Avales,0,,,,0,0
2018,,389,       Otros Reintegros De Operaciones Corrientes,200000,,,,200000,851526.75
2018,,39100,             Multas Por Infracciones Urbanisticas,6000,,,,6000,0
2018,,39110,             Multas Por Infracciones Tributarias Y Analogas,0,,,,0,0
2018,,39120,             Multas Por Infracciones De La Ordenanza De Circulacion,0,,,,0,0
2018,,39190,             Otras Multas Y Sanciones,519500,,,,519500,419188.55
2018,,39200,             Recargos Por Declaracion Extemporanea Sin Requerimiento Previo,0,,,,0,0
2018,,39210,             Recargo Ejecutivo,0,,,,0,0
2018,,39211,             Recargo De Apremio,20000,,,,20000,56747.76
2018,,393,       Economica Ingresos _ Tasas Precios Publicos Y Otros Ingresos _ Otros Ingresos _ Intereses De Demora,30000,,,,30000,27147.94
2018,,394,       Prestacion Personal,0,,,,0,0
2018,,395,       Prestacion De Transporte,0,,,,0,0
2018,,39600,             Canon De Urbanizacion,0,,,,0,0
2018,,39610,             Cuotas De Urbanizacion,0,,,,0,0
2018,,39700,             Canon Por Aprovechamientos Urbanisticos,0,,,,0,0
2018,,39710,             Otros Ingresos Por Aprovechamientos Urbanisticos,0,,,,0,0
2018,,398,       Indemnizaciones De Seguros De No Vida,0,,,,0,0
2018,,399,       Otros Ingresos Diversos,28750,,,,28750,74392.44
2018,,42000,             Participacion En Los Tributos Del Estado,0,,,,0,0
2018,,42010,             Fondo Complementario De Financiacion,13543390,,,,13543390,14213550.8
2018,,42020,             Compensacion Por Beneficios Fiscales,0,,,,0,0
2018,,42090,             Otras Transferencias Corrientes De La Administracion General Del Estado,0,,,,0,0
2018,,42100,             Transferencia Corrientes _ De La Administracion Del Estado _ De Organismos Autonomos Y Agencias Estatales _ Del Servicio Publico De Empleo Estatal,0,,,,0,0
2018,,42190,             Transferencia Corrientes _ De La Administracion Del Estado _ De Organismos Autonomos Y Agencias Estatales _ De Otros Organismos Autonomos Y Agencias,50000,,,,50000,0
2018,,422,       Transferencia Corrientes _ De La Administracion Del Estado _ De Fundaciones Estatales,0,,,,0,0
2018,,42300,             Transferencia Corrientes _ De La Administracion Del Estado _ De Sociedades Mercantiles Estatales Entidades Publicas Empresariales Y Otros Organismos Publicos _ De Loterias Y Apuestas Del Estado,60000,,,,60000,46344.57
2018,,42390,             De Otras Sociedades Mercantiles Estatales Entidades Publicas Empresariales Y Organismos Publicos,0,,,,0,0
2018,,440,       Transferencia Corrientes _ De Entes Publicos Y Sociedades Mercantiles De La Entidad Local _ De Entes Publicos,0,,,,0,0
2018,,441,       Transferencia Corrientes _ De Entes Publicos Y Sociedades Mercantiles De La Entidad Local _ De Sociedades Mercantiles,0,,,,0,0
2018,,45000,             Participacion En Tributos De La Comunidad Autonoma,0,,,,0,0
2018,,45001,             Otras Transferencias Incondicionadas,48826766.53,,,,48826766.53,48333581.5
2018,,45002,             Transferencias Corrientes En Cumplimiento De Convenios Suscritos Con La Comunidad Autonoma En Materia De Servicios Sociales Y Politicas De Igualdad,2021560.01,,,,2021560.01,2980522.69
2018,,45030,             Transferencias Corrientes En Cumplimiento De Convenios Suscritos Con La Comunidad Autonoma En Materia De Educacion,310000,,,,310000,0
2018,,45050,             Transferencias Corrientes En Cumplimiento De Convenios Suscritos Con La Comunidad Autonoma En Materia De Empleo Y Desarrollo Local,0,,,,0,111024.59
2018,,45060,             Otras Transferencias Corrientes En Cumplimiento De Convenios Suscritos Con La Comunidad Autonoma,2273179.64,,,,2273179.64,579191.11
2018,,45080,             Otras Subvenciones Corrientes De La Administracion General De La Comunidad Autonoma,14400,,,,14400,500
