#Título,Descripción
El pressupost municipal,"El pressupost d’un Ajuntament és un document que s’aprova pel Ple de l’Ajuntament i que especifica les despeses que com a màxim es produiran durant l’exercici i els ingressos que es preveuen obtenir durant el mateix període. Totes les entitats locals estan obligades a aprovar el pressupost de l’any en l’últim trimestre de l’any anterior. D’aquesta manera les entitats locals l’1 de gener de cada any han de tenir el seu pressupost aprovat. No obstant  això, si quan comença l’any no s’ha aprovat el pressupost, la normativa estableix que es prorrogaran automàticament els pressuposts de l’any anterior."
Com es classifica el pressupost de despeses,"L’estat de despeses ordena els crèdits d’acord amb tres classificacions diferents:<ul><li>Orgànica, que informa sobre qui fa la despesa.</li><li>Per programes, que informa sobre en què es gasta, és a dir, la finalitat de la despesa.</li><li>Econòmica, que informa sobre com es gasta, sobre la naturalesa econòmica de la despesa.</li></ul>"
Classificació orgànica del pressupost de despeses,"La classificació orgànica del pressupost de despeses informa de quina és la unitat orgànica de l’Ajuntament que gestiona les despeses, és a dir, quina àrea o servei  és el responsable de la seva execució. Aquesta classificació és opcional."
Classificació econòmica del pressupost de despeses,"La classificació econòmica del pressupost de despeses informa sobre com es gasta. Per això els crèdits del pressupost de despeses s’ordenen segons la seva naturalesa econòmica, distingint entre els crèdits destinats a operacions corrents, com les despeses necessàries per al funcionament dels serveis públics (despeses en personal i en béns i serveis), els crèdits destinats a operacions de capital (com les despeses en inversions reals) i els crèdits destinats a operacions de caràcter financer (com les amortitzacions dels préstecs que han rebut les entitats locals)."
Classificació per programes del pressupost de despeses,"La classificació per programes del pressupost de despeses informa sobre la finalitat i els objectius dels crèdits que es proposi aconseguir. El detall d’aquesta classificació el podeu consultar en l’Ordre del Ministeri d’Economia i Hisenda HAP/419/2014, de 14  de març, per la qual s’aprova l’estructura dels pressuposts de les entitats locals."
Com es classifica el pressupost d’ingressos,"L’estat d’ingressos es pot classificar d’acord amb les classificacions següents:<ul><li>Classificació econòmica, que presenta la informació atenent a la naturalesa econòmica dels drets pressupostaris, l’estructura de la qual serà definida pel Ministeri d’Economia i Hisenda.</li><li>Classificació orgànica, que informa sobre qui ingressa. Les entitats locals podran classificar els ingressos atenent a la seva pròpia estructura. És una possibilitat que tenen les entitats locals i, per tant, una classificació de caràcter opcional.</li></ul>"
Taxes i preus públics,"Quan l’Ajuntament fa activitats que beneficien o interessen particularment els ciutadans, pot exigir taxes o preus públics. També s’exigirà una taxa quan tingui lloc l’aprofitament especial de les vies públiques a favor d’un particular. Exemples típics d’activitats per les quals s’exigeix una taxa són la recollida d’escombraries, la concessió d’una llicència urbanística o el gual. Ha de pagar la taxa la persona que es beneficia del domini públic o d’un servei o activitat duta a terme per l’Ajuntament. És l’Ajuntament qui determina mitjançant les ordenances fiscals l’import de la taxa. La diferència entre una taxa i un preu públic  és que la taxa s’estableix per a serveis que només presta l’Ajuntament (exemple: guals) i el preu públic s’utilitza per a aquells serveis que també pot prestar l’empresa privada (exemple: escoles bressol)."
Contribucions especials,"Quan l’Ajuntament du a terme obres públiques o estableix serveis dels quals el ciutadà obté un benefici o a través dels quals incrementa el valor dels seus béns, es poden exigir contribucions especials."
Resultat pressupostari ajustat,"El resultat pressupostari forma part de l’estat de liquidació del pressupost i és la diferència entre els drets de cobrament que s’han liquidat en l’exercici i les obligacions de pagament reconegudes en el mateix període. Per tant, és una magnitud que reflecteix el superàvit o dèficit de l’exercici de l’Ajuntament.  El resultat pressupostari s’ha d’ajustar amb les obligacions que es financen amb romanent de tresoreria per a despeses generals i les desviacions de finançament de l’exercici derivades de les despeses amb finançament afectat, ja que aquestes circumstàncies distorsionen el resultat pressupostari. Quan el resultat pressupostari ajustat de l’exercici és negatiu, estem davant d’una situació financera que ha de ser analitzada i si és el cas corregida, ja que l’esmentat saldo manifesta la incapacitat dels drets reconeguts de l’exercici per atendre les obligacions generades en aquest, i per tant un incompliment del principi d’estabilitat pressupostària. "
Romanent de tresoreria per a despeses generals,"El romanent de tresoreria per a despeses generals forma part de l’estat de liquidació del pressupost i és la suma dels drets pendents de cobrament (del mateix exercici i dels anteriors) més els fons líquids de tresoreria menys els crèdits pendents de pagament (del mateix exercici i dels anteriors). Tot i la denominació de “romanent líquid de tresoreria”, aquesta magnitud no significa un sobrant líquid de tresoreria. És senzillament el resultat líquid que s’obtindria en l’hipotètic supòsit que es cobressin tots els drets reconeguts (no provisionals) i es paguessin totes les obligacions reconegudes, tant d’operacions pressupostàries com no pressupostàries, tenint en compte les desviacions de finançament afectat positives acumulades."
