#,Funcional,Económica,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,110.0,31000.0,Deuta Pública Intereses,,110.0,3.0,573000.0,,573000.0,646007.74
,110.0,31001.0,Deuta Pública A corto plazo,,110.0,3.0,100000.0,,100000.0,
,110.0,35900.0,Deuta Pública.Otros gastos financieros,,110.0,3.0,,,,19700.5
,110.0,91300.0,Deuta Pública Amortització prèstec,,110.0,9.0,3860000.0,,3860000.0,338948.21
,110.0,91301.0,Deuta Pública.Sa Nostra 444267517,,110.0,9.0,,,,270455.44
,110.0,91302.0,Deuta Pública.La Caixa RDL 5/2009  310.407.117-65,,110.0,9.0,,,,248443.72
,110.0,91303.0,Deuta Pública.BBVA  0182.5747.895.44650173,,110.0,9.0,,,,52793.18
,110.0,91304.0,Deuta Pública.BBVA Hip. 0182.5747.895.45026555,,110.0,9.0,,,,385703.32
,110.0,91305.0,Deuta Pública.Caja Madrid RDL 5/2009  11.675.475/58,,110.0,9.0,,,,589439.82
,110.0,91306.0,Deuta Pública.Dexia Sabadell Amort. 36154761,,110.0,9.0,,,,725968.52
,110.0,91307.0,Deuta Pública.Dexia Sabadell Inv. 36152728,,110.0,9.0,,,,236507.8
,110.0,91308.0,Deuta Pública.BBVA ICO-1  00046695281,,110.0,9.0,,,,570910.12
,110.0,91309.0,Deuta Pública.BBVA ICO-2  00046721078,,110.0,9.0,,,,303095.03
,110.0,91310.0,Deuta Pública.BBVA ICO-3  00046744695,,110.0,9.0,,,,55437.45
,1350.0,12000.0,Extinció Incendis. Pla territorial Emergències. Sueldos del Grupo A1,,1350.0,1.0,14677.32,,14677.32,13955.99
,1350.0,12001.0,Extinció Incendis. Pla territorial Emergències. Sueldos del Grupo A2,,1350.0,1.0,12906.52,,12906.52,
,1350.0,12003.0,Extinció Incendis. Pla territorial Emergències. Sueldos del Grupo C1,,1350.0,1.0,9884.84,,9884.84,9262.54
,1350.0,12004.0,Extinció Incendis. Pla territorial Emergències. Sueldos del Grupo C2,,1350.0,1.0,318386.04,,318386.04,277764.04
,1350.0,12006.0,Extinció Incendis. Pla territorial Emergències. Trienios,,1350.0,1.0,52655.96,,52655.96,47198.53
,1350.0,12100.0,Extinció Incendis. Pla territorial Emergències. Complemento de destino,,1350.0,1.0,194523.28,,194523.28,163800.72
,1350.0,12101.0,Extinció Incendis. Pla territorial Emergències. Complemento específico,,1350.0,1.0,336883.54,,336883.54,285922.77
,1350.0,12103.0,Extinció Incendis. Pla territorial Emergències. Otros complementos,,1350.0,1.0,190110.48,,190110.48,197583.93
,1350.0,15001.0,Extinció Incendis. Pla territorial Emergències. Productivitat funcionàris,,1350.0,1.0,123000.0,,123000.0,113033.35
,1350.0,15100.0,Extinció Incendis. Pla territorial Emergències. Gratificacions,,1350.0,1.0,171000.0,,171000.0,269919.16
,1350.0,16000.0,Extinció Incendis. Pla territorial Emergències. Seguridad Social,,1350.0,1.0,464612.0,,464612.0,509811.24
