#Ejercicio,Orgánica,Económica,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Modificación de previsiones en aumento,Modificación de previsiones en disminución,Previsiones Definitivas,Derechos reconocidos
2012,,10000,Impost sobre la Renta de les Persones físiques,1015890.0,,,,1015890.0,921901.83
2012,,13000,Actividades empresariales,,,,,,72862.84
2012,,13002,Compensación IAE Tributos del Estado,80000.0,,,,80000.0,
2012,,17100,Recargo provincial en el Impuesto sobre Actividades Económicas,,,,,,131059.99
2012,,17900,Recàrrec IAE del Ajuntaments,150000.0,,,,150000.0,85598.11
2012,,21000,Impost sobre IVA,1589000.0,,,,1589000.0,1516350.93
2012,,22000,Impuesto sobre el alcohol y bebidas derivadas,24620.0,,,,24620.0,15774.47
2012,,22001,Impuesto sobre la cerveza,8350.0,,,,8350.0,6363.59
2012,,22003,Impuesto sobre las labores del tabaco,329000.0,,,,329000.0,174372.84
2012,,22004,Impuesto sobre hidrocarburos,239700.0,,,,239700.0,121446.66
2012,,22006,Impuesto sobre productos intermedios,500.0,,,,500.0,819.36
2012,,31000,Taxes Hospital Cas Serres,810000.0,,,,810000.0,612699.67
2012,,31200,Taxes Escoletes,295000.0,,,,295000.0,325832.27
2012,,31201,Taxes Cultura Edif. Cas Serres,,,,,,1835.7
2012,,31300,Taxes Instal.lacions Esportives,468000.0,,,,468000.0,410144.19
2012,,31900,Taxes ITV,1089700.0,,,,1089700.0,1211558.42
2012,,31901,Taxes Transports,25000.0,,,,25000.0,60652.68
2012,,31902,"Taxes agricultura, ramederia i Pesca",65000.0,,,,65000.0,2249.45
2012,,31903,Taxes ordenació turística,37000.0,,,,37000.0,57770.73
2012,,31904,Taxes Joventut,89000.0,,,,89000.0,98885.29
2012,,31905,Taxes centre exàmens Conduir,89000.0,,,,89000.0,94441.99
2012,,31907,Taxes Servei d´Extinció d´Incendis,,,,,,22006.0
2012,,31909,Taxes caça,58000.0,,,,58000.0,1048.75
2012,,31910,Tasas Ordenacio del Territori,,,,,,14376.59
2012,,31911,Tasas espectáculos y actividades recreativas,8000.0,,,,8000.0,77.33
2012,,32000,Tasas licencia caza,,,,,,27959.48
