#a,Funcional,Económica,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,110.0,31000.0,Deuta Pública Intereses,,110.0,3.0,0.0,24750.6,24750.6,0.0
,110.0,91200.0,Deuta Pública.Amortización de préstamos a corto plazo de entes de fuera del sector público. Deudas a corto plazo con entidades de crédito.,,110.0,9.0,0.0,11800.0,11800.0,0.0
,1360.0,12000.0,Servei de Prevenció i Extinció d´Incendis. Sueldos del Grupo A1,,1360.0,1.0,15234.74,0.0,15234.74,15009.38
,1360.0,12001.0,Servei de Prevenció i Extinció d´Incendis Sueldos del Grupo A2,,1360.0,1.0,13396.58,0.0,13396.58,0.0
,1360.0,12003.0,Servei de Prevenció i Extinció d´Incendis. Sueldos del Grupo C1,,1360.0,1.0,10260.32,0.0,10260.32,10501.41
,1360.0,12004.0,Servei de Prevenció i Extinció d´Incendis. Sueldos del Grupo C2,,1360.0,1.0,495717.6,-21064.34,474653.26,436682.19
,1360.0,12006.0,Servei de Prevenció i Extinció d´Incendis. Trienios,,1360.0,1.0,62675.34,0.0,62675.34,67810.79
,1360.0,12100.0,Servei de Prevenció i Extinció d´Incendis. Complemento de destino,,1360.0,1.0,287443.8,-16388.68,271055.12,246065.38
,1360.0,12101.0,Servei de Prevenció i Extinció d´Incendis. Complemento específico,,1360.0,1.0,736162.06,-16388.68,719773.38,614177.36
,1360.0,12103.0,Servei de Prevenció i Extinció d´Incendis. Otros complementos,,1360.0,1.0,42295.08,0.0,42295.08,37198.6
,1360.0,12700.0,Servei de Prevenció i Extinció d´Incendis.Contribuciones a planes y fondos de pensiones funcionaris,,1360.0,1.0,0.0,0.0,0.0,22034.21
,1360.0,15001.0,Servei de Prevenció i Extinció d´Incendis. Productivitat funcionàris,,1360.0,1.0,181800.0,0.0,181800.0,348360.72
,1360.0,15100.0,"Servei de Prevenció i Extinció d´Incendis. Ad,.General Gratificacions",,1360.0,1.0,245733.0,0.0,245733.0,313876.65
,1360.0,16000.0,Servei de Prevenció i Extinció d´Incendis. Seguridad Social,,1360.0,1.0,837381.91,34863.12,872245.03,636248.13
,1360.0,16008.0,Servei de Prevenció i Extinció d´Incendis. Asistencia médico-farmacéutica,,1360.0,1.0,6000.0,0.0,6000.0,5631.15
,1360.0,21200.0,Servei de Prevenció i Extinció d´Incendis.Repar. Manteniment i conserv. edificis i altres,,1360.0,2.0,0.0,0.0,0.0,4383.66
,1360.0,21300.0,Servei de Prevenció i Extinció d´Incendis. Repar. Manteniment i conserv. Maquin. Instal. i utillatge,,1360.0,2.0,40000.0,0.0,40000.0,22986.05
,1360.0,21400.0,Servei de Prevenció i Extinció d´Incendis Reparac. Manten. i Conserv. Mat. Transport,,1360.0,2.0,40000.0,0.0,40000.0,41845.22
,1360.0,21500.0,Servei de Prevenció i Extinció d´Incendis.Repar. Manteniment i conserv. Mobilliari i béns,,1360.0,2.0,0.0,0.0,0.0,1229.24
,1360.0,21600.0,Servei de Prevenció i Extinció d´Incendis.Manteniment equisp informàtics,,1360.0,2.0,0.0,0.0,0.0,74.9
,1360.0,22000.0,Servei de Prevenció i Extinció d´Incendis.Ordinario no inventariable,,1360.0,2.0,0.0,0.0,0.0,31.1
,1360.0,22001.0,"Servei de Prevenció i Extinció d´Incendis.Prensa, revistas, libros y otras publicaciones",,1360.0,2.0,0.0,0.0,0.0,14.63
,1360.0,22101.0,Servei de Prevenció i Extinció d´Incendis Agua,,1360.0,2.0,5000.0,0.0,5000.0,0.0
,1360.0,22102.0,Servei de Prevenció i Extinció d´Incendis Gas,,1360.0,2.0,2000.0,0.0,2000.0,485.26
,1360.0,22104.0,Servei de Prevenció i Extinció d´Incendis. Vestuario,,1360.0,2.0,185000.0,0.0,185000.0,47216.18
,1360.0,22106.0,Servei de Prevenció i Extinció d´Incendis.Productos farmacéuticos y material sanitario,,1360.0,2.0,0.0,0.0,0.0,2835.65
,1360.0,22109.0,Servei de Prevenció i Extinció d´Incendis. Material especial,,1360.0,2.0,36000.0,0.0,36000.0,4434.3
,1360.0,22110.0,Servei de Prevenció i Extinció d´Incendis.Productos de limpieza y aseo,,1360.0,2.0,0.0,0.0,0.0,1801.58
,1360.0,22111.0,"Servei de Prevenció i Extinció d´Incendis.Suministros de repuestos de maquinaria, utillaje y elementos de transporte",,1360.0,2.0,0.0,0.0,0.0,4849.0
,1360.0,22113.0,Servei de Prevenció i Extinció d´Incendis.Manutención de animales,,1360.0,2.0,0.0,0.0,0.0,1025.55
,1360.0,22199.0,Servei de Prevenció i Extinció d´Incendis.Otros suministros,,1360.0,2.0,0.0,0.0,0.0,4131.7
,1360.0,22203.0,Servei de Prevenció i Extinció d´Incendis.Informáticas,,1360.0,2.0,0.0,0.0,0.0,0.0
,1360.0,22300.0,Servei de Prevenció i Extinció d´Incendis. Parque móvil,,1360.0,2.0,254052.0,0.0,254052.0,260497.28
,1360.0,22606.0,"Servei de Prevenció i Extinció d´Incendis.Reuniones, conferencias y cursos",,1360.0,2.0,0.0,0.0,0.0,18809.5
,1360.0,22699.0,Servei de Prevenció i Extinció d´Incendis Otros gastos diversos,,1360.0,2.0,122046.0,0.0,122046.0,16297.22
,1360.0,22799.0,Servei de Prevenció i Extinció d´Incendis Otros trabajos realizados por otras empresas y profesionales,,1360.0,2.0,22500.0,0.0,22500.0,14425.52
,1360.0,23020.0,Servei de Prevenció i Extinció d´Incendis.Del personal no directivo,,1360.0,2.0,0.0,0.0,0.0,26647.53
,1360.0,23120.0,Servei de Prevenció i Extinció d´Incendis.Del personal no directivo,,1360.0,2.0,0.0,0.0,0.0,1040.85
,1360.0,23300.0,Servei de Prevenció i Extinció d´Incendis.Altres indemnitzacions per raó de servei,,1360.0,2.0,0.0,0.0,0.0,30.0
