#Ejercicio,Orgánica,Económica,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Modificación de previsiones en aumento,Modificación de previsiones en disminución,Previsiones Definitivas,Derechos reconocidos
2003,13,39903,Multes Transports,0.0,0.0,0.0,0.0,0.0,0.0
2004,23,31300,"Anuncios en columnas, carteles y otras instalaciones locales",0.0,0.0,0.0,0.0,0.0,0.0
2015,,31000,Taxes Hospital Cas Serres,0.0,0.0,0.0,0.0,0.0,0.0
2015,,31904,Taxes Joventut,0.0,0.0,0.0,0.0,0.0,0.0
2015,,32500,Expedicion de Documentos,0.0,0.0,0.0,0.0,0.0,0.0
2015,,34201,Preu Públic per Estudis Impartits a l´EADE (Escola d´Art Dramatic d´Eivissa),0.0,0.0,0.0,0.0,0.0,0.0
2015,,3919003,Sanciones pesca,0.0,0.0,0.0,0.0,0.0,0.0
2015,,3919099,Multas. Otras Multas Diversas,0.0,0.0,0.0,0.0,0.0,0.0
2015,,39211,Recargo de apremio,0.0,0.0,0.0,0.0,0.0,0.0
2015,,39300,Interessos de demora,0.0,0.0,0.0,0.0,0.0,0.0
2015,,39902,Costas procedimiento exptes. ejecutiva,0.0,0.0,0.0,0.0,0.0,0.0
2015,,4500205,Conveni Maltractament Infantil,0.0,0.0,0.0,0.0,0.0,0.0
2015,,4500208,Menores,0.0,0.0,0.0,0.0,0.0,0.0
2015,,4505000,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Empelo y Desarrollo local. Transferencias,0.0,0.0,0.0,0.0,0.0,0.0
2015,,45100,Transferencias CCAA de Organismos,0.0,0.0,0.0,0.0,0.0,0.0
2015,,91001,Devolución deuda liquidación definitiva 2008. Min. Hacienda y Adm. Publicas.,0.0,0.0,0.0,0.0,0.0,0.0
2015,,91002,Devolución deuda liquidación definitiva 2009. Min. Hacienda y Adm. Publicas.,0.0,0.0,0.0,0.0,0.0,0.0
2015,,91003,Devolcuón deuda liquidacion definitiva 2013. Min. Hacienda y Adm. Publicas,0.0,0.0,0.0,0.0,0.0,0.0
2015,,94100,Fiances ingressades,0.0,0.0,0.0,0.0,0.0,0.0
